run_id,condition,response,task_id,complexity,group
21,3,5,58.0,high,C
28,2,6,26.0,medium,B
28,2,2,31.0,medium,B
28,2,7,8.0,low,B
28,2,3,23.0,medium,B
28,2,5,43.0,high,B
28,2,2,1.0,low,B
28,2,2,9.0,low,B
28,2,1,14.0,low,B
28,2,7,35.0,medium,B
28,2,3,51.0,high,B
28,2,3,47.0,high,B
28,2,5,37.0,medium,B
28,2,3,60.0,high,B
28,2,3,54.0,high,B
28,2,5,17.0,medium,B
28,2,2,64.0,high,B
29,2,1,23.0,medium,B
29,2,2,14.0,low,B
29,2,1,26.0,medium,B
29,2,2,51.0,high,B
29,2,2,64.0,high,B
29,2,4,37.0,medium,B
29,2,2,54.0,high,B
29,2,3,43.0,high,B
29,2,4,31.0,medium,B
29,2,3,1.0,low,B
29,2,4,47.0,high,B
29,2,4,60.0,high,B
29,2,2,17.0,medium,B
29,2,6,8.0,low,B
29,2,3,9.0,low,B
29,2,3,35.0,medium,B
3,2,1,54.0,high,B
3,2,1,9.0,low,B
3,2,1,23.0,medium,B
3,2,1,1.0,low,B
3,2,1,26.0,medium,B
3,2,6,47.0,high,B
3,2,7,8.0,low,B
3,2,2,51.0,high,B
3,2,3,64.0,high,B
3,2,1,17.0,medium,B
3,2,5,37.0,medium,B
3,2,5,60.0,high,B
3,2,3,43.0,high,B
3,2,5,14.0,low,B
3,2,3,35.0,medium,B
3,2,3,31.0,medium,B
31,4,1,34.0,medium,D
31,4,5,28.0,medium,D
31,4,3,42.0,high,D
31,4,4,48.0,high,D
31,4,4,16.0,low,D
31,4,6,18.0,medium,D
31,4,7,24.0,medium,D
31,4,4,55.0,high,D
31,4,7,6.0,low,D
31,4,7,12.0,low,D
31,4,5,61.0,high,D
31,4,1,57.0,high,D
31,4,2,40.0,medium,D
31,4,3,49.0,high,D
31,4,4,3.0,low,D
31,4,7,29.0,medium,D
34,1,5,46.0,high,A
34,1,6,25.0,medium,A
34,1,2,44.0,high,A
34,1,4,2.0,low,A
34,1,3,22.0,medium,A
34,1,6,59.0,high,A
34,1,4,13.0,low,A
34,1,5,33.0,medium,A
34,1,1,50.0,high,A
34,1,4,11.0,low,A
34,1,5,19.0,medium,A
34,1,5,62.0,high,A
34,1,1,53.0,high,A
34,1,1,7.0,low,A
34,1,6,30.0,medium,A
34,1,2,39.0,medium,A
41,4,6,55.0,high,D
41,4,7,29.0,medium,D
41,4,3,57.0,high,D
41,4,6,42.0,high,D
41,4,4,16.0,low,D
41,4,5,24.0,medium,D
41,4,2,18.0,medium,D
41,4,3,49.0,high,D
41,4,1,34.0,medium,D
41,4,7,12.0,low,D
41,4,4,3.0,low,D
41,4,1,28.0,medium,D
41,4,5,48.0,high,D
41,4,6,61.0,high,D
41,4,6,6.0,low,D
41,4,2,40.0,medium,D
30,3,4,5.0,low,C
30,3,6,38.0,medium,C
30,3,2,52.0,high,C
30,3,3,41.0,high,C
30,3,5,45.0,high,C
30,3,5,63.0,high,C
30,3,3,56.0,high,C
30,3,3,15.0,low,C
30,3,3,32.0,medium,C
30,3,3,36.0,medium,C
30,3,3,58.0,high,C
30,3,4,20.0,medium,C
30,3,4,21.0,medium,C
30,3,4,4.0,low,C
30,3,3,27.0,medium,C
30,3,4,10.0,low,C
35,4,5,55.0,high,D
35,4,2,34.0,medium,D
35,4,6,6.0,low,D
35,4,5,12.0,low,D
35,4,3,57.0,high,D
35,4,3,40.0,medium,D
35,4,5,42.0,high,D
35,4,5,48.0,high,D
35,4,4,3.0,low,D
35,4,3,49.0,high,D
35,4,6,29.0,medium,D
35,4,3,18.0,medium,D
35,4,5,61.0,high,D
35,4,4,24.0,medium,D
35,4,4,16.0,low,D
35,4,3,28.0,medium,D
40,2,5,26.0,medium,B
40,2,4,37.0,medium,B
40,2,3,14.0,low,B
40,2,5,47.0,high,B
40,2,4,43.0,high,B
40,2,6,54.0,high,B
40,2,2,23.0,medium,B
40,2,3,51.0,high,B
40,2,2,64.0,high,B
40,2,6,35.0,medium,B
40,2,2,9.0,low,B
40,2,6,60.0,high,B
40,2,5,17.0,medium,B
40,2,7,8.0,low,B
40,2,2,31.0,medium,B
40,2,1,1.0,low,B
39,1,6,33.0,medium,A
39,1,2,44.0,high,A
39,1,5,13.0,low,A
39,1,6,25.0,medium,A
39,1,6,59.0,high,A
39,1,2,22.0,medium,A
39,1,6,30.0,medium,A
39,1,6,2.0,low,A
39,1,3,53.0,high,A
39,1,6,62.0,high,A
39,1,5,46.0,high,A
39,1,5,19.0,medium,A
39,1,1,7.0,low,A
39,1,4,11.0,low,A
39,1,2,50.0,high,A
39,1,3,39.0,medium,A
36,2,6,17.0,medium,B
36,2,7,26.0,medium,B
36,2,1,64.0,high,B
36,2,6,37.0,medium,B
36,2,2,23.0,medium,B
36,2,3,43.0,high,B
36,2,7,8.0,low,B
36,2,5,54.0,high,B
36,2,4,47.0,high,B
36,2,3,51.0,high,B
36,2,1,1.0,low,B
36,2,2,14.0,low,B
36,2,3,9.0,low,B
36,2,6,35.0,medium,B
36,2,4,60.0,high,B
36,2,1,31.0,medium,B
42,1,6,30.0,medium,A
42,1,5,33.0,medium,A
42,1,2,22.0,medium,A
42,1,6,25.0,medium,A
42,1,5,19.0,medium,A
42,1,4,11.0,low,A
42,1,6,59.0,high,A
42,1,3,39.0,medium,A
42,1,7,62.0,high,A
42,1,4,13.0,low,A
42,1,5,2.0,low,A
42,1,2,44.0,high,A
42,1,1,7.0,low,A
42,1,4,53.0,high,A
42,1,2,50.0,high,A
42,1,3,46.0,high,A
46,4,7,12.0,low,D
46,4,4,3.0,low,D
46,4,2,49.0,high,D
46,4,2,18.0,medium,D
46,4,6,6.0,low,D
46,4,6,24.0,medium,D
46,4,1,28.0,medium,D
46,4,7,29.0,medium,D
46,4,4,16.0,low,D
46,4,4,57.0,high,D
